Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Constituency_Type,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage
1962,50,1,VEGHELA GUMANSINGJI VIRAMSINGJI,INC,27429,DEODAR,GEN,49.29,77.93,no,55.86
1962,51,1,SURAJMAL MAVJIBHAI SHAH,INC,10665,DHANERA,GEN,38.06,50.6,no,1.2
1962,52,1,VINODCHANDRA JETHALAL PATEL,INC,13312,DEESA,GEN,41.53,60.94,no,21.88
1962,53,1,DALJIBHAI GANESHBHAI PATEL,INC,15899,PALANPUR,GEN,40.22,55.01,no,33.87
1962,54,1,HIRABHAI SAMABHAI PARMAR,INC,17669,VADGAM,SC,40.91,63.65,no,36.81
1962,55,1,BHAMBHI GOVIMDBHAI MANABHAI,INC,23715,IDAR,SC,57.01,64.26,no,35.8
1962,56,1,DABHI MALJIBHAI SAGRAMBHAI,INC,14544,KHEDBRAHMA,ST,43.51,60.13,no,25.24
1962,57,1,GANPATLAL JOTHALAL TRIVEDI,INC,16959,BHILODA,GEN,51.92,53.75,no,22.64
1962,58,1,VADILAL PREMCHANDDAS MEHTA,INC,14495,MODASA,GEN,65.44,40.8,no,1.98
1962,59,1,LALSINHJI KISHORSINH RAHEVAR,SWA,25241,BAYAD,GEN,71.16,53.4,no,9.79
1962,60,1,SHANTUBHAI CHUNIBHAI PATEL,INC,21871,PRANTIJ,GEN,63.64,52.65,no,19.04
1962,61,1,SHANKERBHAI DEVJIBHAI PATEL,INC,19225,HIMATNAGAR,GEN,59.94,63.51,no,39.68
1962,62,1,GANGARAM CHUNILAL RAVAL,INC,23317,VIJAPUR,GEN,65.83,57.03,no,14.07
1962,63,1,BABUBHAI SHIVRAM PATEL,INC,20796,MANSA,GEN,64.81,51.81,no,3.63
1962,64,1,SHANKERJI MAGANJI THAKOR,INC,23604,KALOL,GEN,62.35,54.79,no,9.58
1962,65,1,NATVARLAL AMRATLAL PATEL,INC,19828,KADI,GEN,73.66,50.54,no,1.08
1962,66,1,KANTILAL KESHAVLAL PATEL,SWA,26328,AMBALIYASAN,GEN,70.55,57.27,no,14.53
1962,67,1,SHANTIBEN BHOLABHAI PATEL,INC,22328,MEHSANA,GEN,62.29,49.71,no,21.15
1962,68,1,RAMNIKLAL TRIKMLAL MANIAR,INC,22827,VISNAGAR,GEN,69.52,51.87,no,3.73
1962,69,1,NATVARLAL MAGANLAL PATEL,INC,16497,KHERALU,GEN,49.48,56.25,no,17.11
1962,70,1,BLU BADRUDDIN AKABARALI,INC,21555,SIDHPUR,GEN,54.3,60.1,no,23.27
1962,71,1,AMBALAL MOHANLAL PATEL,INC,23403,UNJHA,GEN,58.63,61.91,no,23.83
1962,72,1,VIJAYKUMAR MADHAVLAL TRIVEDI,INC,24334,PATNA,GEN,57.13,64.38,no,33.81
1962,73,1,SHANKARDAS RAMDAS MAKVANA,INC,16451,SAMI,SC,43.56,59.63,no,32.18
1962,74,1,PREHALADJI HARGOVINDDAS PATEL,INC,19866,CHANASMA,GEN,65.47,42.95,no,8.91
1962,75,1,PARSHOTTAMDAS RANCHHODDAS PARIKH,SWA,23716,VIRAMGAM,GEN,69.27,50.04,no,0.08
1962,76,1,SHANTILAL TRIKAMLAL PATEL,INC,20619,SANAND,GEN,62.53,54.75,no,9.5
1962,77,1,SHAMALBHAI LALLUBHAI PATEL,SWA,18796,SABARMATI,GEN,61.27,56.79,no,18.86
1962,78,1,INDUMATI CHIMANLAL,INC,23511,ELLISBRIDGE,GEN,55.44,56.71,no,16.98
1962,79,1,MOHANLAL POPATLAL VYAS,INC,18166,DARIAPUR KAZIPUR,GEN,54.19,51.31,no,2.62
1962,80,1,MANGALDAS UTTAMRAM PANDYA,INC,15549,ASARVA,GEN,48.56,54.92,no,28.34
1962,81,1,KARIM RAHEMANJI CHIPPA,INC,13550,JAMALPUR,GEN,59.19,45.6,no,14.66
1962,82,1,BRAHMKUMAR RANCHHODLAL BHATT,PSP,21198,KHADIA,GEN,63.69,59.08,no,25.16
1962,83,1,PALKHIWALA MANUBHAI HARILAL,NJP,19872,DARIAPUR,GEN,60.95,50.65,no,18.75
1962,84,1,MANGUBHAI MADHABHAI PATEL,INC,22149,SHERKOTDA,GEN,53,56.42,no,35.58
1962,85,1,JESINGBHAI GOVINDBHAI PARMAR,INC,21589,GOMTIPUR,SC,42.81,68.18,no,44.62
1962,86,1,VITHALBHAI PURSOTAM AMIN,INC,13848,DEHGAM,GEN,64.64,36.59,no,3.41
1962,87,1,TARACHANDANI VIRUMAL KHUSHALDAS,INC,17260,KATHWADE,GEN,57.37,41.31,no,15.75
1962,88,1,CHHOTABHAI JIVABHAI PATEL,INC,26434,ASLALI,GEN,61.91,59.92,no,28.67
1962,89,1,BHANUPRASAD VALJIBHAI PANDYA,INC,19761,DHOLKA,SC,44.65,69.53,no,47.63
1962,90,1,BABULAL MOHANLAL SHAH,INC,26645,DHANDHUKA,GEN,49.61,76.05,no,52.09
1962,91,1,VADODIA UDESINH VERSINH,SWA,34677,UMRETH,GEN,67.71,62.83,no,27.9
1962,92,1,BHAILALBHAI DYABHAI PATEL,SWA,33215,ANAND,GEN,70.35,61.47,no,22.95
1962,93,1,HAMIRSINHJI JAYSINHJI SOLANKI,SWA,18336,SUNAV,GEN,64.41,52.93,no,5.86
1962,94,1,JASHBHAI CHUNIBHAI PATEL,SWA,26063,PETLAD,GEN,70.54,62.39,no,24.77
1962,95,1,MAGANBHAI VANSJIBHAI PATEL,SWA,17433,BORSAD,GEN,65.38,42.87,no,4.53
1962,96,1,MADHAVSINH FULSINH SOLANKI,INC,18631,BHADRAN,GEN,57.44,51.63,no,15.41
1962,97,1,RANJITRAI GANGASHANKER SHASTRI,SWA,26013,CAMBAY,GEN,70.85,54.96,no,9.93
1962,98,1,JAMINDAR FAZLEABBAS TAIYABALI,INC,20183,MATAR,GEN,68.84,45.71,no,0.07
1962,99,1,RAMANLAL NAGJIBHAI PATEL,SWA,21836,MEHEMDABAD,GEN,62.75,50.16,no,2.58
1962,100,1,RAMANBHAI ASHABHAI PATEL,SWA,20062,UTTARSANDA,GEN,64.22,46.45,no,11.28
1962,101,1,MANMOHANDAS BHAGWANDAS DESAI,SWA,20939,NADIAD,GEN,62.96,50.41,no,3.93
1962,102,1,JUVANSINH AMARSINH THAKOR,INC,17890,KATHLAL,GEN,57.38,51.81,no,5.74
1962,103,1,UTSAVBHAI SHANKERLAL PARIKH,INC,19927,KAPADWANJ,GEN,66.5,49.15,no,20.13
1962,104,1,MAKAVANA SHANTA YOGENDRAKUMAR,INC,13841,BALASINOR,SC,48.88,52.89,no,9.28
1962,105,1,KIRITSINH AMARSINH THAKORE,SWA,21686,THASRA,GEN,64.99,56.32,no,14.95
1962,106,1,MANSINGH VECHATBHAI NAIK,SWA,13250,HALOL,ST,51.93,50.34,no,8.23
1962,107,1,VIJAYSINHJI BHARATSINHJI CHAUHAN,SWA,12144,KALOL,GEN,44.74,47.45,no,15.87
1962,108,1,RAMUBHAI JETHABHAI BHATIA,SWA,15533,SALIA,GEN,47.3,61.46,no,37.58
1962,109,1,TAHERALI ABDULALI,INC,9020,GODHRA,GEN,47.63,35.26,no,7.16
1962,110,1,PARVATSINH GHAMIRBHAI PARMAR,INC,16696,SHEHRA,GEN,46.11,54.04,no,25.1
1962,111,1,SHRI JATASHANKER DALSUKHRAM PANDYA,INC,16569,LUNAWADA,GEN,48.58,53.74,no,13.69
1962,112,1,VIRSINGHBHAI JOTIBHAI BHABHOR,INC,10764,SANTRAMPUR,ST,34.39,49.86,no,11.38
1962,113,1,TITABHAI MEGHAJIBHAI HATHILA,INC,12541,JHALOD,ST,50.7,51.38,no,23.48
1962,114,1,NIMAMA HIRABEN LALCHANDBHAI,INC,19217,DOHAD,ST,49.28,70.33,no,51
1962,115,1,BADIA MULA GUNDIA,SWA,18195,LIMKHEDA,ST,51.18,65.4,no,39
1962,116,1,RAOL SHRIMANT MAHARAJA JAYDEEPSINHJI,SWA,32444,DEVGADH BARIA,GEN,57.73,86.06,no,76.82
1962,117,1,KAMALSHANKER MULJIRAM PANDIT,INC,16419,JABUGAM,GEN,51.13,60.53,no,25.77
1962,118,1,BIPINCHANDRA MAHASHANKER BHATT,SWA,12270,CHHOTA UDEPUR,GEN,44.16,48.32,no,15.94
1962,119,1,BHAIJIBHAI GARBADBHAI TADVI,INC,12544,NASWADI,ST,48.06,49.39,no,6.82
1962,120,1,CHANDULAL NAROTAMBHAI VASAVA,INC,19135,SANKHEDA,ST,58.45,57.34,no,20.77
1962,121,1,KASHIWALA MANILAL MANGALJI,INC,16839,WAGHODIA,GEN,52.87,58.75,no,30.91
1962,122,1,MANUBHAI MOTIBHAI PATEL,INC,15580,SAVLI,GEN,62.87,39.35,no,12.17
1962,123,1,CHIMANBHAI HARIBHAI AMIN,INC,19204,BARODA NORTH,GEN,51.9,57.76,no,30.76
1962,124,1,BHAILALBHAI GARBADDAS CONTRACTOR,INC,19769,BARODA CITY WEST,GEN,57.69,50.31,no,6.84
1962,125,1,PALEJWALA FATEHALI HUSSEINUDDIN,INC,24987,BARODA CITY EAST,GEN,63.13,57.02,no,28.51
1962,126,1,BHANUBEN MANUBHAI PATEL,INC,18297,DABHOI,GEN,62.44,48.78,no,2.82
1962,127,1,NAGJIBHAI GOVINDBHAI ARYA,INC,23614,KARJAN,SC,48.12,73.07,no,46.14
1962,128,1,SHANABHAI DHULABHAI PARMAR,SWA,15730,PADRA,GEN,63.32,35.41,no,0.2
1962,129,1,CHIMANBHAI JIBHAI,PSP,21690,JAMBUSAR,GEN,61.96,54.23,no,8.47
1962,130,1,MANSINHJI BHASAHEBTHA-SA,INC,21352,VAGRA,GEN,63.9,53.9,no,7.8
1962,131,1,CHANDRASHANKER MANISHANKER BHATT,INC,21198,BROACH,GEN,62.27,52.12,no,22.61
1962,132,1,KANAIYALAL YASHVANTRAI JOSHI,INC,17839,ANKLESHWAR,GEN,82.7,50.79,no,24.24
1962,133,1,VASAWA DHANUBEN DALPATBHAI,INC,12873,JHAGADIA,ST,44.01,54.51,no,26.95
1962,134,1,RAJWADI HIMATHBHAI MATHUR,INC,13854,NANDOD,ST,47.3,52.42,no,21.23
1962,135,1,DEVAJI RAMJI,INC,12143,DEDIAPADA,ST,52.96,45.53,no,12
1962,136,1,KUMAR CHHANABHAI GURIABHAI,INC,13555,SONGADH,ST,46.92,44.77,no,11.52
1962,137,1,PRUTHVIRAJ GANGJIBHAI CHAUDHARI,INC,27337,VYARA,ST,69.16,59.08,no,31.12
1962,138,1,RAMJIBHAI RUPABHAI CHODHRI,INC,21878,MANGROL,ST,63.69,56.72,no,32.69
1962,139,1,RAMJIBHAI RAJIABHAI CHAUDHARI,INC,15964,MANDVI,ST,60.84,45.19,no,16.67
1962,140,1,DAHIBEN BHULABHAI RATHOD,INC,14060,MAHUVA,ST,56.56,47.33,no,8.78
1962,141,1,HITENDRA KANIYALAL DESAI,INC,22201,OLPAD,GEN,67.51,62.32,no,27.89
1962,142,1,PURUSHOTAM MALJIBHAI CHAUHAN,INC,15882,CHORASI,SC,38.89,68.58,no,51.74
1962,143,1,ISHVARLAL GULABBHAI DESAI,INC,24795,SURAT CITY EAST,GEN,54.26,64.43,no,34.37
1962,144,1,KIKIBEN ALIAS URMILABEN PREMSANKER BHATT,INC,21545,SURAT CITY WEST,GEN,53.34,70.48,no,51.03
1962,145,1,BHULABHAI MITTHALBHAI PATEL,INC,24590,BARDOLI,GEN,64.13,60.61,no,21.21
1962,146,1,SULEMAN ESSUF UNIA,INC,25278,NAVSARI,GEN,62.21,69.45,no,38.91
1962,147,1,GOSAIBHAI CHHIBABHAI PATEL,INC,26665,JALALPORE,GEN,60.83,79.61,no,63.12
1962,148,1,ISHVERBHAI CHHOTUBHAI DESAI,PSP,26101,GANDEVI,GEN,73.03,53.7,no,7.41
1962,149,1,BHULABHAI NARANBHAI PATEL,INC,15081,CHIKHLI,ST,51.2,43.72,no,6.43
1962,150,1,SUVASBEN ARVINDBHAI MAJMUDAR,INC,17870,BULSAR,GEN,67.79,37.83,no,5.93
1962,151,1,UTTAMBHAI HARJIBHAI PATEL,PSP,25347,PARDI,ST,67.71,53.8,no,14.61
1962,152,1,SATU DEVA THAKARIA,INC,24401,UMBERGAON,ST,54.32,72.02,no,44.05
1962,153,1,RAMUBHAI BALUBHAI JADAV,PSP,16032,DHARAMPUR,ST,58.77,42.39,no,11.85
1962,154,1,BAHADURBHAI KUTHABHAI PATEL,INC,16807,BANSDA,ST,62.53,37.55,no,6.59
1967,1,1,P. B. THACKER,INC,20833,ABDASA,GEN,57.54,59.44,no,18.87
1967,2,1,M. M. MEHTA,INC,14352,BHUJ,GEN,50.57,50.33,no,15.49
1967,3,1,J. L. MEHTA,INC,20420,MANDVI,GEN,64.58,50.95,no,1.9
1967,4,1,V. B. DAFDA,SWA,18072,MUNDRA,SC,54.31,56.25,no,17.73
1967,5,1,N. H. GAJWANI,INC,18918,ANJAR,GEN,53.37,50.7,no,15.2
1967,6,1,B. GAJSINHJI,SWA,15060,RAPAR,GEN,47.98,50.66,no,6.24
1967,7,1,C. C. POPATLAL,SWA,19089,DASADA,GEN,58.89,49.93,no,12.22
1967,8,1,S. J. JHALA,SWA,29776,WADHWAN,GEN,66.57,68.64,no,42.8
1967,9,1,H. R. DORIA,SWA,22633,LIMBDI,SC,58.51,59.72,no,24.41
1967,10,1,DHARMENDRASINHJI,SWA,20297,CHOTILA,GEN,54.67,52.38,no,9.6
1967,11,1,MOORRAJJI,SWA,33727,DHRANGADHRA,GEN,68.82,77.36,no,63.02
1967,12,1,V. V. MEHTA,SWA,21701,MORVI,GEN,63.97,55.82,no,11.65
1967,13,1,V. J. SHAH,INC,13104,TANKARA,GEN,47.63,45.29,no,10
1967,14,1,D. PRATAPSINHJI,SWA,18911,WANKANER,GEN,64.43,50.53,no,4.37
1967,15,1,S. KHACHAR,SWA,13553,JASDAN,GEN,52.47,39.59,no,0.2
1967,16,1,C. H. SHUKLA,BJS,21555,RAJKOT I,GEN,64.69,61.17,no,26.62
1967,17,1,M. P. JADEJA,SWA,24015,RAJKOT II,GEN,63.28,56.29,no,14.66
1967,18,1,B. H. PATEL,INC,12667,GONDAL,GEN,51.8,49.95,no,4.89
1967,19,1,N. K. PATEL,INC,16786,JETPUR,GEN,56.77,54.6,no,21
1967,20,1,M. G. PATEL,INC,16330,DHORAJI,GEN,57.12,48.41,no,5.61
1967,21,1,J. A. PATEL,INC,16203,UPLETA,GEN,64.08,47.81,no,20.51
1967,22,1,C. D. THAKOR,SWA,18257,JODIA,GEN,60.24,49.98,no,1.04
1967,23,1,L. PATEL,SWA,19492,JAMNAGAR,GEN,59.55,52.72,no,29.93
1967,24,1,S. D. PATEL,INC,10863,ALIA,GEN,44.46,42.01,no,6.06
1967,25,1,B. B. PATEL,INC,16762,KALAWAD,GEN,51.89,50.29,no,4.57
1967,26,1,N. P. BHANVADIA,SWA,16304,JAMJODHPUR,GEN,55.26,55.57,no,13.1
1967,27,1,D. V. BARAI,SWA,9382,KHAMBHALIA,GEN,45.05,39.48,no,2.68
1967,28,1,K. G. RAICHURA,INC,10298,DWARKA,GEN,47.43,34.22,no,4.47
1967,29,1,P. D. KAKKAD,INC,12432,PORBANDAR,GEN,50.67,38.01,no,2.52
1967,30,1,B. B. GAJERA,SWA,17183,KUTIYANA,GEN,56.37,52.12,no,8.97
1967,31,1,N. P. GANDHI,IND,10803,MANGROL,GEN,54.44,37.93,no,1.24
1967,32,1,K. B. DODIYA,SWA,17071,SOMNATH,GEN,54.85,47.36,no,4.72
1967,33,1,K. K. MORI,INC,16585,MALIA,GEN,46.52,54.36,no,14.94
1967,34,1,D. D. PATEL,SWA,16799,KESHOD,GEN,55.55,58.39,no,16.78
1967,35,1,M. A. CHANDA,INC,11785,MANAVADAR,SC,50.93,40.49,no,16.02
1967,36,1,P. K. DAVE,INC,15866,JUNAGADH,GEN,58.01,45.7,no,0.65
1967,37,1,K. D. BHESANIA,SWA,14124,VISAVADAR,GEN,48.62,48.95,no,2.88
1967,38,1,P. J. OZA,INC,17670,UNA,GEN,56.63,53.31,no,12.54
1967,39,1,J. D. KANSAGRA,INC,15431,BABRA,GEN,41.96,53.73,no,26.8
1967,40,1,S. H. BHATT,INC,10527,LATHI,GEN,41.15,41.8,no,6.78
1967,41,1,N. G. GONDHIYA,INC,20875,AMRELI,GEN,51.44,55.05,no,19.96
1967,42,1,R. T. TEUVA,INC,16929,DHARI KODINAR,SC,49.24,58.08,no,38.76
1967,43,1,J. MEHTA,INC,14222,RAJULA,GEN,40.53,49.48,no,7.51
1967,44,1,B. K. PATEL,SWA,16383,KUNDLA,GEN,60.53,39.46,no,6.76
1967,45,1,C. P. MEHTA,INC,15076,MAHUVA,GEN,44.54,50.9,no,10.02
1967,46,1,D. J. PATEL,INC,14450,PALITANA,GEN,51.12,46.71,no,15.09
1967,47,1,M. R. PANCHOLLI,INC,14754,SIHOR,GEN,45.63,47.63,no,14.63
1967,48,1,R. B. GOHIL,SWA,16629,GADHADA,GEN,52.62,53.83,no,11.92
1967,49,1,P. G. GOHEL,INC,17477,BOTAD,GEN,51.1,56.77,no,28.82
1967,50,1,P. SHAH,INC,14580,BHAVNAGAR,GEN,57.96,37.8,no,9.21
1967,51,1,D. B. MEHTA,INC,12526,GHOGHO,GEN,44.13,42.92,no,14.2
1967,52,1,S. K. GOHIL,SWA,13478,TALAJA,GEN,40.69,49.02,no,14
1967,53,1,V. B. KOTDAWALA,SWA,17815,DHANDHUKA,GEN,57.63,51.39,no,2.77
1967,54,1,K. G. GHIYA,INC,21303,DHOLKA,GEN,68.21,49.55,no,3.46
1967,55,1,D. S. PARMAR,SWA,22352,BAVLA,SC,67.56,58.09,no,21.2
1967,56,1,D. B. JADAV,SWA,24626,SANAND,GEN,71.5,57.51,no,15.01
1967,57,1,G. H. PATEL,INC,25197,VIRAMGAM,GEN,64.09,54.59,no,13.98
1967,58,1,R. K. PATEL,IND,23084,ELLISBRIDGE,GEN,62.74,47.37,no,2.88
1967,59,1,T. J. PATEL,INC,20887,DARIAPUR KAZIPUR,GEN,56.71,46.61,no,2.93
1967,60,1,M. T. SHUKLA,INC,19733,ASARVA,GEN,62.91,45.16,no,4.71
1967,61,1,M. G. SHASTRI,PSP,22208,KHADIA,GEN,64.08,59.72,no,35.14
1967,62,1,M. H. PALKHIWALA,IND,22945,KALUPUR,GEN,64.51,52.1,no,32.42
1967,63,1,S. C. DESAI,IND,24075,SHAHPUR,GEN,61.74,59.11,no,26.03
1967,64,1,A. T. KUNDIWALA,SWA,14023,JAMALPUR,GEN,66.16,37.73,no,1.14
1967,65,1,J. G. PARMAR,INC,19620,KANKARIA,SC,54.65,48.21,no,9.2
1967,66,1,S. R. SHAH,INC,25092,RAKHIAL,GEN,60.98,49.71,no,15.95
1967,67,1,V. TARACHANDANI,INC,26261,NARODA,GEN,59.83,51.46,no,22.24
1967,68,1,V. L. MEHTA,SWA,34395,DASKROI,GEN,78.37,66.58,no,33.15
1967,69,1,M. C. SHAH,SWA,29840,DEHGAM,GEN,72.36,65.46,no,30.93
1967,70,1,S. L. PATEL,SWA,22106,GANDHINAGAR,GEN,64.93,43.35,no,2.71
1967,71,1,A. B. THAKOR,INC,22385,KALOL,GEN,68.67,45.57,no,15.16
1967,72,1,P. N. PARMAR,SWA,27203,KADI,SC,68.08,58.91,no,21.23
1967,73,1,B. M. PATEL,SWA,31803,JOTANA,GEN,69.47,64.16,no,31.2
1967,74,1,K. J. YAGNIK,SWA,23073,MEHSANA,GEN,56.59,55.14,no,15.52
1967,75,1,C. G. PATEL,SWA,28467,MANSA,GEN,75.01,55.63,no,11.27
1967,76,1,G. C. RAVAL,INC,26519,VIJAPUR,GEN,74.29,52.22,no,4.43
1967,77,1,S. B. PATEL,INC,28926,VISNAGAR,GEN,72.23,55.12,no,16.75
1967,78,1,V. V. PARIKH,IND,14212,KHERALU,GEN,54.78,35.1,no,0.55
1967,79,1,P. S. MOHANLAL,SWA,29252,UNJHA,GEN,66.91,64.39,no,32.67
1967,80,1,P. N. LALLUBHAI,INC,26574,SIDHPUR,GEN,59.83,61.94,no,23.88
1967,81,1,V.M. TRIVEDI,INC,29083,PATAN,GEN,69.69,57.5,no,22.15
1967,82,1,B.K. PATEL,SWA,28061,CHANASMA,GEN,67.64,56.62,no,15.43
1967,83,1,K.H. CHAUDHARI,INC,17880,SAMI,GEN,68.21,40.2,no,7.68
1967,84,1,R.K. JADEJA,SWA,19044,RADHANPUR,GEN,60.55,52.53,no,5.06
1967,85,1,J.P. PARMAR,SWA,20812,VAV,SC,45.71,68.55,no,37.09
1967,86,1,G.V. VAGHHELA,INC,15671,DEDDAR,GEN,50.06,49.35,no,1.46
1967,87,1,J.V. SHAH,INC,13336,KANKREJ,GEN,57.2,39.16,no,2.22
1967,88,1,S.S. SHAH,INC,19506,DEESA,GEN,56.75,55.83,no,11.66
1967,89,1,B.J. JOSHI,SWA,15146,DHANERA,GEN,44.22,58.35,no,16.69
1967,90,1,A.C. MEHTA,INC,14946,PALANPUR,GEN,57.04,45.01,no,3.86
1967,91,1,F.D. PATEL,INC,15202,DANTA,GEN,47.73,52.33,no,4.67
1967,92,1,Z.B. RATHOD,SWA,17542,KHEDBRAHMA,ST,49.82,68.28,no,36.56
1967,93,1,M.R. BHUMBHI,SWA,22693,IDAR,SC,57.38,57.38,no,14.76
1967,94,1,A.J. TRIVEDI,SWA,20150,BHILODA,GEN,63.05,55.64,no,11.27
1967,95,1,D. HIMATSINHJI,SWA,25313,HIMATNAGAR,GEN,70.8,60.45,no,27.37
1967,96,1,N.A. JHALA,SWA,26957,PRANTIJ,GEN,71.27,62.97,no,27.26
1967,97,1,N.S. PATEL,SWA,15794,MODASA,GEN,59.69,41.43,no,8.48
1967,98,1,L.K. RAHEVAR,SWA,21113,BAYAD,GEN,66.88,57.66,no,22.6
